x,y
-4.169329857347898,-0.9542197188271095
-4.156736202362241,-0.9652305490195132
-4.144114965461359,-0.9761832168408637
-4.131466363757025,-0.9870776356594138
-4.118790614724418,-0.997913719499021
-4.106087936200792,-1.0086913830402682
-4.0933585463841355,-1.0194105416215893
-4.080602663831841,-1.0300711112403864
-4.067820507459376,-1.040673008554137
-4.055012296538946,-1.0512161508814999
-4.042178250698161,-1.0617004562034165
-4.02931858991871,-1.0721258431642045
-4.016433534535031,-1.082492231072651
-4.003523305232979,-1.0927995399030932
-3.9905881230484996,-1.1030476902964934
-3.977628209366304,-1.1132366035615189
-3.96464378591854,-1.1233662016756083
-3.9516350747834723,-1.1334364072860235
-3.9386022983841573,-1.143447143710921
-3.925545679487125,-1.153398334940388
-3.9124654412010518,-1.1632899056374941
-3.8993618069754534,-1.1731217811393289
-3.886235000599358,-1.182893887458035
-3.8730852461999987,-1.192606151281833
-3.859912768241501,-1.202258499976042
-3.8467177915235715,-1.2118508615840982
-3.833500541180188,-1.2213831648285596
-3.820261242678294,-1.230855339112108
-3.8070001218164964,-1.2402673145185488
-3.7937174047237643,-1.2496190218137961
-3.780413317858132,-1.258910392446864
-3.7670880880053983,-1.2681413585508396
-3.7537419422778386,-1.2773118529438499
-3.740375108112911,-1.2864218091300312
-3.726987813271969,-1.2954711613004843
-3.713580285838986,-1.304459844334238
-3.70015275421926,-1.3133877937991763
-3.686705447138149,-1.3222549459529902
-3.673238593639787,-1.3310612377440953
-3.6597524230858194,-1.3398066068125656
-3.646247165154134,-1.3484909914910546
-3.6327230498376073,-1.3571143308057063
-3.619180307442828,-1.3656765644770468
-3.605619168588856,-1.374177632920894
-3.592039864205969,-1.382617477249238
-3.5784426255344144,-1.3909960392711285
-3.5648276841231663,-1.399313261493552
-3.5511952718287,-1.4075690871222992
-3.537545620813745,-1.4157634600628235
-3.523878963546069,-1.4238963249210979
-3.5101955327972485,-1.4319676270044506
-3.4964955616414595,-1.4399773123224147
-3.4827792834542657,-1.4479253275875592
-3.4690469319114032,-1.455811620216295
-3.4552987409875975,-1.463636138329717
-3.441534944955359,-1.4713988307543848
-3.427755778383796,-1.4790996470231381
-3.413961476137439,-1.486738537375884
-3.400152273375066,-1.494315452760384
-3.3863284055485314,-1.5018303448330241
-3.372490108401606,-1.5092831659595827
-3.358637617968823,-1.516673869215986
