z,Angle_ΛCDM,Angle_HyperTwist,Ratio
7.4,0.0009572389937329692,0.0009377428150870366,0.9796329038269713
7.5,0.0009651161936421488,0.0009461350341331355,0.980332772743785
7.6000000000000005,0.0009729973296604772,0.0009545281890429091,0.981018302872411
7.7,0.0009808820829591692,0.000962922111455743,0.9816899790347442
7.800000000000001,0.0009887701538546024,0.0009713166111931037,0.9823482306848986
7.9,0.0009966612605121546,0.0009797112421749121,0.9829932003893355
8,0.0010045551377508536,0.0009881061821161031,0.9836256318676755
8.1,0.0010124515359399135,0.0009965013668332416,0.9842459924841099
8.200000000000001,0.0010203502199791637,0.001004896436999003,0.9848544326471785
8.3,0.001028250968356074,0.0010132911447247248,0.9854511942203503
8.4,0.0010361535722729063,0.0010216859215854983,0.9860371560022017
8.5,0.001044057834838012,0.0010300798123876178,0.9866118312760299
8.6,0.0010519635703159895,0.0010384736042862311,0.9871763943064052
8.700000000000001,0.0010598706034317602,0.0010468663772255006,0.9877303642877224
8.8,0.001067778768724241,0.0010552589565305246,0.9882749006063541
8.9,0.0010756879099455847,0.0010636500933562103,0.9888091922591347
9,0.001083597879502291,0.0010720407553074253,0.9893344898384501
9.1,0.0010915085379349715,0.0010804304572177793,0.9898506696629686
9.200000000000001,0.0010994197534336548,0.0010888188278401886,0.9903577086364349
9.3,0.0011073314013859544,0.0010972063619908534,0.990856360270802
9.4,0.001115243363955506,0.0011055929443206053,0.991346803803725
9.5,0.001123155529688451,0.0011139777975853284,0.9918286186903534
9.600000000000001,0.001131067793145763,0.0011223614693524305,0.9923025623697426
9.700000000000001,0.0011389800545596256,0.0011307439338674593,0.9927688631076593
9.8,0.0011468922195119343,0.0011391251062672757,0.9932276868632313
9.9,0.0011548041986334389,0.0011475049083751274,0.9936791966404788
