Time,Frequency,GTR_Amplitude,HyperTwist_Amplitude,Difference
-0.9440000000000001,139.8647040833281,-0.0000000000000000000004899662582923085,-0.0000000000000000000006488953778863291,-0.00000000000000000000015892911959402063
-0.9430000000000001,139.8916937028699,0.0000000000000000000012004050395456425,0.0000000000000000000013256207073133987,0.00000000000000000000012521566776775623
-0.9420000000000001,139.91870242887782,0.0000000000000000000022972189232432743,0.0000000000000000000024149830754600842,0.00000000000000000000011776415221680991
-0.9410000000000001,139.9457302847268,0.0000000000000000000022563528292812275,0.0000000000000000000021113242415685197,-0.00000000000000000000014502858771270783
-0.9400000000000001,139.97277729383225,0.0000000000000000000010967948529911622,0.0000000000000000000008972783951475912,-0.00000000000000000000019951645784357097
-0.9390000000000001,139.99984347965048,-0.0000000000000000000006074667147295366,-0.0000000000000000000005875093653195612,0.0000000000000000000000199573494099754
-0.9380000000000001,140.02692886567854,-0.000000000000000000002011071558700501,-0.0000000000000000000019052676038874898,0.00000000000000000000010580395481301106
-0.937,140.05403347545442,-0.000000000000000000002416533353853223,-0.0000000000000000000024626543822492352,-0.00000000000000000000004612102839601221
-0.936,140.08115733255724,-0.0000000000000000000016212244084676404,-0.0000000000000000000016635621809421597,-0.00000000000000000000004233777247451925
-0.935,140.1083004606071,-0.000000000000000000000019292837062458192,0.0000000000000000000002306750154734098,0.00000000000000000000024996785253586797
-0.934,140.1354628832654,0.0000000000000000000015930682286532828,0.000000000000000000001966730387422425,0.0000000000000000000003736621587691421
-0.933,140.16264462423487,0.0000000000000000000024130967226148755,0.0000000000000000000024430049087279076,0.000000000000000000000029908186113032166
-0.932,140.18984570725954,0.000000000000000000002031373220539654,0.0000000000000000000016489586796276478,-0.00000000000000000000038241454091200604
-0.931,140.21706615612501,0.0000000000000000000006368316665850319,0.0000000000000000000002476765665767358,-0.0000000000000000000003891551000082961
-0.93,140.24430599465842,-0.0000000000000000000010760805806064394,-0.000000000000000000001223148751951184,-0.00000000000000000000014706817134474463
-0.929,140.27156524672867,-0.000000000000000000002252815575827436,-0.00000000000000000000229546326697519,-0.00000000000000000000004264769114775389
-0.928,140.2988439362463,-0.000000000000000000002305109808507749,-0.000000000000000000002286594291921546,0.000000000000000000000018515516586203014
-0.927,140.32614208716387,-0.0000000000000000000012055641683607546,-0.0000000000000000000008816387293842235,0.0000000000000000000003239254389765311
-0.926,140.35345972347585,0.0000000000000000000004973418458395108,0.0000000000000000000011286912463945433,0.0000000000000000000006313494005550326
-0.925,140.3807968692187,0.000000000000000000001952309125238951,0.0000000000000000000023715327228131043,0.00000000000000000000041922359757415337
-0.924,140.40815354847115,0.000000000000000000002430680646138206,0.000000000000000000002200962022797469,-0.0000000000000000000002297186233407371
-0.923,140.43552978535408,0.000000000000000000001691727543698789,0.0000000000000000000010359711976054593,-0.0000000000000000000006557563460933297
-0.922,140.46292560403083,0.00000000000000000000010445463779088671,-0.0000000000000000000004545497189398937,-0.0000000000000000000005590043567307804
-0.921,140.49034102870706,-0.0000000000000000000015360330462999813,-0.000000000000000000001816598435950214,-0.00000000000000000000028056538965023286
-0.92,140.5177760836311,-0.0000000000000000000024065401647723135,-0.0000000000000000000024687235997556188,-0.00000000000000000000006218343498330528
-0.919,140.54523079309382,-0.0000000000000000000020690761616337292,-0.000000000000000000001774474411844452,0.00000000000000000000029460174978927705
-0.918,140.5727051814289,-0.0000000000000000000006918305285404616,0.00000000000000000000008990333336617325,0.0000000000000000000007817338619066348
-0.917,140.60019927301275,0.000000000000000000001033956891318071,0.0000000000000000000018925386600931313,0.0000000000000000000008585817687750603
-0.916,140.62771309226483,0.0000000000000000000022405002423412676,0.0000000000000000000024603572620965736,0.00000000000000000000021985701975530596
-0.915,140.65524666364757,0.0000000000000000000023198700575803485,0.000000000000000000001714489300838763,-0.0000000000000000000006053807567415856
-0.914,140.6828000116665,0.0000000000000000000012308088815937629,0.00000000000000000000031739301318118195,-0.000000000000000000000913415868412581
-0.913,140.7103731608705,-0.00000000000000000000047913658685885935,-0.0000000000000000000011701399150631989,-0.0000000000000000000006910033282043395
